Player_SN,Player_LN,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions
Alphonse Areola,Alphonse Francis Aréola,16666666,2018-2019,27.0,1.95,Goalkeeper,right,Ligue 1,0.81,3.0,2.43,79.4,0.76,0.14,0.1,0.52,52.4,0.19,0.19,0.0,0.0,0.0,0.81,0.19,0.0,0.05,0.05,0.94,0.26,0.18,3.33,6.05,55.1,17.81,4.52,22.7,28.3,6.38,31.3,35.2,8.19,0.29,3.5,0.67,13.2
Alphonse Areola,Alphonse Francis Aréola,15000000,2017-2018,26.0,1.95,Goalkeeper,right,Ligue 1,0.74,3.12,2.41,77.4,0.76,0.18,0.06,0.5,50.0,0.06,0.03,0.03,0.0,50.0,0.74,0.03,0.06,0.18,0.0,0.76,0.23,0.02,1.41,2.79,50.5,14.82,2.65,13.9,24.3,2.35,31.3,34.4,8.79,0.71,8.0,0.91,16.8
Álvaro Fernández,Álvaro Fernández Llorente,4000000,2021-2022,25.0,1.86,Goalkeeper,left,Premier League,2.0,5.58,3.83,65.7,0.25,0.17,0.58,0.08,8.3,0.08,0.08,0.0,0.0,0.0,2.0,0.08,0.0,0.42,0.17,2.06,0.36,0.23,6.83,20.58,33.2,34.75,4.67,48.0,38.6,6.92,56.6,41.0,10.25,0.58,5.7,0.83,14.3
Álvaro Fernández,Álvaro Fernández Llorente,3400000,2020-2021,24.0,1.86,Goalkeeper,left,La Liga,1.45,4.18,2.82,67.4,0.23,0.23,0.55,0.23,22.7,0.09,0.09,0.0,0.0,0.0,1.45,0.09,0.0,0.32,0.05,1.36,0.31,-0.05,6.18,14.95,41.3,29.41,4.91,40.0,37.5,7.77,40.9,39.4,8.55,0.5,5.9,0.68,16.3
Andrea Consigli,Andrea Consigli,2000000,2021-2022,36.0,1.89,Goalkeeper,right,Serie A,1.59,3.9,2.55,65.5,0.38,0.34,0.28,0.1,10.3,0.28,0.24,0.03,0.0,12.5,1.59,0.24,0.0,0.21,0.03,1.61,0.35,0.06,7.55,15.31,49.3,33.31,4.52,38.2,34.8,6.86,37.7,31.7,9.0,0.55,6.1,0.55,12.8
Andrea Consigli,Andrea Consigli,3333333,2020-2021,35.0,1.89,Goalkeeper,right,Serie A,1.51,4.86,3.43,71.1,0.46,0.27,0.27,0.19,19.4,0.14,0.11,0.03,0.0,20.0,1.51,0.11,0.0,0.11,0.03,1.55,0.3,0.07,5.0,11.05,45.2,30.35,4.35,30.9,30.9,6.35,26.4,25.9,8.84,0.78,8.9,0.7,15.9
Andrea Consigli,Andrea Consigli,3150000,2019-2020,34.0,1.89,Goalkeeper,right,Serie A,1.77,4.52,3.0,65.7,0.39,0.16,0.45,0.16,16.1,0.26,0.23,0.03,0.0,12.5,1.77,0.23,0.03,0.29,0.1,1.6,0.32,-0.08,4.55,10.94,41.6,25.45,4.39,34.2,32.7,6.65,33.5,29.9,9.39,0.81,8.6,0.65,14.9
Andrea Consigli,Andrea Consigli,4500000,2018-2019,33.0,1.89,Goalkeeper,right,Serie A,1.57,4.03,2.63,63.9,0.25,0.42,0.34,0.34,33.3,0.22,0.11,0.08,0.03,42.9,1.57,0.11,0.0,0.31,0.06,1.35,0.3,-0.16,6.3,14.68,42.9,24.93,4.51,43.0,36.7,7.9,50.0,40.7,10.34,0.67,6.5,0.5,14.1
Andrea Consigli,Andrea Consigli,6000000,2017-2018,32.0,1.89,Goalkeeper,right,Serie A,1.57,4.67,3.17,67.4,0.3,0.27,0.43,0.27,27.0,0.08,0.05,0.03,0.0,33.3,1.57,0.05,0.08,0.27,0.03,1.41,0.29,-0.13,7.68,16.82,45.6,21.22,4.34,53.2,43.2,7.11,77.9,52.5,11.15,0.98,8.8,0.52,13.3
Andreas Luthe,Andreas Luthe,900000,2021-2022,35.0,1.95,Goalkeeper,right,Bundesliga,1.44,3.96,2.68,65.7,0.36,0.28,0.36,0.24,24.0,0.08,0.08,0.0,0.0,0.0,1.44,0.08,0.0,0.2,0.12,1.29,0.31,-0.03,6.6,18.28,36.1,28.6,4.36,46.9,39.4,8.04,60.7,45.2,8.76,0.6,6.8,0.6,13.9
Andreas Luthe,Andreas Luthe,900000,2020-2021,34.0,1.95,Goalkeeper,right,Bundesliga,1.37,4.0,2.73,69.1,0.36,0.39,0.26,0.16,16.1,0.16,0.13,0.03,0.0,20.0,1.37,0.13,0.0,0.26,0.03,1.34,0.31,0.0,6.86,16.58,41.4,29.98,3.45,40.8,37.3,7.02,62.0,44.5,7.71,0.52,6.8,0.36,13.3
Andreas Luthe,Andreas Luthe,450000,2019-2020,33.0,1.95,Goalkeeper,right,Bundesliga,1.2,3.5,2.3,65.7,0.3,0.3,0.4,0.3,30.0,0.0,0.0,0.0,0.0,,1.2,0.0,0.0,0.0,0.1,1.4,0.42,0.3,7.1,19.0,37.4,32.8,5.0,43.6,39.3,9.1,51.6,43.0,11.3,1.2,10.6,0.4,13.2
Andreas Luthe,Andreas Luthe,850000,2018-2019,32.0,1.95,Goalkeeper,right,Bundesliga,1.51,5.29,3.85,71.4,0.21,0.34,0.41,0.14,14.3,0.0,0.0,0.0,0.0,,1.51,0.0,0.07,0.14,0.07,1.53,0.3,0.09,6.53,16.15,40.4,24.11,3.71,49.6,40.4,8.79,47.7,41.6,7.28,0.34,4.7,0.48,14.2
Andrés Fernández,Andrés Eduardo Fernández Moreno,600000,2020-2021,35.0,1.85,Goalkeeper,right,La Liga,1.31,3.13,2.0,64.0,0.13,0.5,0.38,0.25,25.0,0.19,0.19,0.0,0.0,0.0,1.31,0.19,0.06,0.19,0.06,1.06,0.29,-0.19,5.69,16.25,35.0,27.81,4.38,44.3,38.0,7.56,52.1,42.1,10.44,0.81,7.8,0.44,12.2
Andrés Fernández,Andrés Eduardo Fernández Moreno,1150000,2018-2019,33.0,1.85,Goalkeeper,right,La Liga,1.17,3.67,2.67,72.7,0.5,0.33,0.17,0.33,33.3,0.17,0.17,0.0,0.0,0.0,1.17,0.17,0.0,0.17,0.0,1.43,0.34,0.27,8.67,17.5,49.5,23.0,3.0,51.4,42.2,8.17,69.4,50.3,11.67,0.83,7.1,1.0,14.9
Angelo da Costa Júnior,Angelo Esmael da Costa Júnior,200000,2020-2021,38.0,1.86,Goalkeeper,right,Serie A,1.5,4.33,2.83,69.2,0.0,0.83,0.17,0.17,16.7,0.17,0.17,0.0,0.0,0.0,1.5,0.17,0.17,0.0,0.0,1.57,0.36,0.07,5.83,11.67,50.0,40.83,3.83,24.5,30.3,7.0,23.8,24.4,8.0,0.0,0.0,1.17,16.0
Angus Gunn,Angus Fraser James Gunn,3000000,2021-2022,27.0,1.96,Goalkeeper,right,Premier League,2.57,6.0,3.71,61.9,0.14,0.14,0.71,0.14,14.3,0.57,0.29,0.14,0.14,33.3,2.57,0.29,0.0,0.29,0.0,2.69,0.4,0.11,6.57,16.0,41.1,23.14,4.57,53.1,40.3,8.86,41.9,38.5,9.86,0.86,8.7,0.86,14.6
Angus Gunn,Angus Fraser James Gunn,7250000,2019-2020,25.0,1.96,Goalkeeper,right,Premier League,2.5,5.3,3.0,56.6,0.2,0.2,0.6,0.2,20.0,0.2,0.2,0.0,0.0,0.0,2.5,0.2,0.1,0.1,0.0,1.81,0.31,-0.69,4.6,19.0,24.2,17.7,2.4,68.9,50.4,7.9,86.1,60.4,8.1,0.6,7.4,0.8,16.4
Angus Gunn,Angus Fraser James Gunn,10000000,2018-2019,24.0,1.96,Goalkeeper,right,Premier League,1.5,4.0,2.5,62.5,0.33,0.33,0.33,0.25,25.0,0.08,0.0,0.08,0.0,100.0,1.5,0.0,0.0,0.33,0.0,1.27,0.31,-0.23,6.08,21.42,28.4,18.0,1.25,80.1,55.8,7.58,92.3,67.3,8.42,0.5,5.9,0.67,13.5
Anthony Lopes,Anthony Lopes,12000000,2021-2022,32.0,1.84,Goalkeeper,left,Ligue 1,1.29,4.42,3.31,73.2,0.36,0.36,0.29,0.25,25.0,0.11,0.11,0.0,0.0,0.0,1.29,0.11,0.04,0.22,0.11,1.25,0.27,0.07,4.53,9.24,49.0,27.36,4.46,26.4,31.0,6.62,30.4,33.0,7.34,0.36,4.9,0.72,15.2
Anthony Lopes,Anthony Lopes,16333333,2020-2021,31.0,1.84,Goalkeeper,left,Ligue 1,1.13,3.42,2.47,70.8,0.58,0.26,0.16,0.29,28.9,0.21,0.13,0.05,0.03,28.6,1.13,0.13,0.05,0.11,0.05,1.14,0.3,0.06,5.63,10.71,52.6,24.37,4.76,32.7,33.4,6.58,41.6,36.8,8.11,0.42,5.2,1.03,17.1
Anthony Lopes,Anthony Lopes,19750000,2019-2020,30.0,1.84,Goalkeeper,left,Ligue 1,0.96,3.27,2.46,72.9,0.38,0.27,0.35,0.31,30.8,0.12,0.08,0.0,0.04,0.0,0.96,0.08,0.04,0.08,0.12,0.92,0.26,0.08,4.92,10.27,47.9,24.31,5.38,30.2,32.2,7.15,40.9,38.0,8.46,0.62,7.3,0.58,14.9
Anthony Lopes,Anthony Lopes,23333333,2018-2019,29.0,1.84,Goalkeeper,left,Ligue 1,1.24,3.85,2.85,71.8,0.53,0.26,0.21,0.26,26.5,0.15,0.15,0.0,0.0,0.0,1.24,0.15,0.03,0.06,0.09,1.05,0.25,-0.09,4.71,10.65,44.2,24.29,4.79,32.4,33.4,7.03,39.3,40.3,7.29,0.35,4.8,0.44,14.6
Anthony Lopes,Anthony Lopes,19000000,2017-2018,28.0,1.84,Goalkeeper,left,Ligue 1,1.09,3.97,3.12,76.3,0.62,0.24,0.15,0.41,41.2,0.24,0.15,0.06,0.03,28.6,1.09,0.15,0.03,0.09,0.09,1.05,0.22,0.05,3.24,8.38,38.6,20.24,3.32,31.8,34.4,3.62,53.7,48.5,10.74,0.85,7.9,0.53,14.8
Anthony Racioppi,Anthony Racioppi,1333333,2020-2021,23.0,1.88,Goalkeeper,right,Ligue 1,1.57,4.43,2.95,67.7,0.1,0.29,0.62,0.14,14.3,0.19,0.14,0.05,0.0,25.0,1.57,0.14,0.0,0.24,0.0,1.68,0.36,0.11,5.38,15.43,34.9,22.76,4.71,42.5,37.1,8.48,68.0,49.7,9.48,0.62,6.5,0.48,14.4
Antonio Adán,Antonio Adán Garrido,6500000,2017-2018,32.0,1.9,Goalkeeper,left,La Liga,1.77,4.23,2.67,60.6,0.47,0.13,0.4,0.3,30.0,0.13,0.1,0.03,0.0,25.0,1.77,0.1,0.0,0.2,0.13,1.29,0.28,-0.34,6.73,16.57,40.6,31.17,3.57,42.1,36.5,5.6,61.3,46.1,9.9,1.07,10.8,0.57,14.5
Antonio Mirante,Antonio Mirante,1162500,2020-2021,38.0,1.93,Goalkeeper,right,Serie A,1.48,4.22,2.81,66.7,0.47,0.23,0.31,0.39,38.5,0.23,0.16,0.08,0.0,33.3,1.48,0.16,0.08,0.0,0.0,1.24,0.25,-0.24,5.46,11.63,47.0,27.01,5.39,35.3,33.2,7.03,30.0,29.8,8.74,0.16,1.8,1.17,15.8
Antonio Mirante,Antonio Mirante,725000,2019-2020,37.0,1.93,Goalkeeper,right,Serie A,1.0,4.4,3.4,81.8,0.4,0.2,0.4,0.4,40.0,0.2,0.2,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,1.14,0.25,0.14,5.2,11.2,46.4,28.6,6.2,35.0,32.8,5.8,20.7,30.3,10.0,0.8,8.0,0.8,13.3
Antonio Mirante,Antonio Mirante,800000,2018-2019,36.0,1.93,Goalkeeper,right,Serie A,0.55,3.27,2.55,83.3,0.55,0.36,0.09,0.55,54.5,0.09,0.0,0.09,0.0,100.0,0.55,0.0,0.0,0.18,0.0,0.95,0.28,0.4,7.82,16.73,46.7,21.09,3.73,47.0,39.6,8.36,81.5,55.3,10.91,0.73,6.7,0.55,14.6
Antonio Mirante,Antonio Mirante,1250000,2017-2018,35.0,1.93,Goalkeeper,right,Serie A,1.39,4.33,3.03,69.2,0.3,0.15,0.55,0.21,21.2,0.09,0.06,0.0,0.03,0.0,1.39,0.06,0.03,0.15,0.09,1.26,0.28,-0.05,11.27,21.67,52.0,27.94,4.21,53.5,42.7,8.76,76.8,54.0,12.21,0.85,6.9,0.94,15.1
Arthur Desmas,Arthur Desmas,1566666,2021-2022,29.0,1.96,Goalkeeper,right,Ligue 1,2.0,4.08,2.31,54.7,0.23,0.31,0.46,0.23,23.1,0.15,0.15,0.0,0.0,0.0,2.0,0.15,0.0,0.31,0.08,1.39,0.32,-0.53,2.85,10.54,27.0,20.54,3.77,33.3,34.6,7.77,47.5,38.1,6.54,0.23,3.5,0.38,12.4
Artur Boruc,Artur Boruc,1000000,2018-2019,40.0,1.93,Goalkeeper,right,Premier League,1.5,4.42,3.0,71.7,0.33,0.25,0.42,0.33,33.3,0.25,0.25,0.0,0.0,0.0,1.5,0.25,0.17,0.17,0.0,1.39,0.27,-0.11,5.33,15.25,35.0,19.58,4.83,44.7,41.2,9.42,69.0,53.3,10.75,0.33,3.1,0.42,14.1
Asier Riesgo,Asier Riesgo Unamuno,400000,2018-2019,36.0,1.85,Goalkeeper,right,La Liga,1.43,3.21,1.86,55.6,0.14,0.57,0.29,0.29,28.6,0.0,0.0,0.0,0.0,,1.43,0.0,0.0,0.0,0.07,1.28,0.41,-0.08,9.43,20.93,45.1,21.79,3.0,71.1,50.2,5.64,96.2,65.7,7.29,0.71,9.8,1.43,16.5
Asmir Begovic,Asmir Begovic,7500000,2018-2019,32.0,1.99,Goalkeeper,right,Premier League,1.96,4.29,2.42,56.3,0.33,0.13,0.54,0.21,20.8,0.08,0.08,0.0,0.0,0.0,1.96,0.08,0.0,0.25,0.08,1.57,0.36,-0.31,5.63,14.38,39.1,19.46,5.04,45.8,40.2,8.04,67.9,53.5,9.67,0.92,9.5,0.38,13.1
Asmir Begovic,Asmir Begovic,8000000,2017-2018,31.0,1.99,Goalkeeper,right,Premier League,1.61,4.5,2.97,65.5,0.29,0.29,0.42,0.16,15.8,0.11,0.05,0.03,0.03,33.3,1.61,0.05,0.05,0.21,0.03,1.51,0.33,-0.07,6.13,17.58,34.9,21.66,5.97,48.8,41.5,8.66,80.9,58.5,10.24,0.89,8.7,0.21,13.2
Axel Werner,Axel Wilfredo Werner,750000,2018-2019,24.0,1.91,Goalkeeper,right,La Liga,2.67,5.83,3.5,57.1,0.17,0.17,0.67,0.0,0.0,0.17,0.17,0.0,0.0,0.0,2.67,0.17,0.0,0.17,0.17,1.68,0.26,-0.82,6.83,20.17,33.9,16.83,2.33,69.3,47.2,9.67,87.9,63.1,9.5,0.17,1.8,0.0,9.5
Baptiste Reynet,Baptiste Reynet,2250000,2020-2021,31.0,1.85,Goalkeeper,right,Ligue 1,1.87,5.05,3.29,66.1,0.24,0.21,0.55,0.21,21.1,0.26,0.16,0.08,0.03,33.3,1.87,0.16,0.03,0.18,0.0,1.68,0.29,-0.19,7.84,21.05,37.3,33.87,3.79,46.3,40.5,7.89,68.0,50.4,9.53,0.5,5.2,0.71,14.5
Baptiste Reynet,Baptiste Reynet,3133333,2019-2020,30.0,1.85,Goalkeeper,right,Ligue 1,2.17,4.96,2.96,58.9,0.13,0.13,0.71,0.09,9.1,0.22,0.13,0.09,0.0,40.0,2.17,0.13,0.04,0.13,0.04,1.82,0.33,-0.31,8.72,22.83,38.2,27.35,3.54,57.3,43.7,10.04,71.4,52.2,10.97,0.71,6.5,1.06,16.1
Baptiste Reynet,Baptiste Reynet,5000000,2018-2019,29.0,1.85,Goalkeeper,right,Ligue 1,1.5,4.66,3.3,70.7,0.2,0.37,0.47,0.2,19.4,0.17,0.13,0.03,0.0,20.0,1.5,0.13,0.07,0.17,0.0,1.36,0.27,-0.14,7.76,19.4,40.0,25.63,4.46,50.0,42.0,9.69,68.0,53.1,10.68,0.87,8.1,0.8,14.6
Baptiste Reynet,Baptiste Reynet,5000000,2017-2018,28.0,1.85,Goalkeeper,right,Ligue 1,1.92,5.21,3.66,68.7,0.34,0.24,0.42,0.13,13.2,0.39,0.29,0.08,0.03,21.4,1.92,0.29,0.05,0.18,0.08,1.97,0.32,0.12,7.5,17.11,43.8,30.34,4.5,45.8,40.2,4.79,67.0,52.6,11.74,1.24,10.5,1.26,16.9
Bartlomiej Dragowski,Bartlomiej Dragowski,11333333,2021-2022,25.0,1.91,Goalkeeper,right,Serie A,1.3,3.72,2.59,69.6,0.49,0.0,0.65,0.32,28.6,0.32,0.16,0.16,0.0,50.0,1.3,0.16,0.0,0.16,0.0,1.36,0.29,0.06,8.58,19.26,44.5,49.37,3.72,33.1,33.9,6.31,46.2,43.6,5.02,0.81,16.1,2.1,17.7
Bartlomiej Dragowski,Bartlomiej Dragowski,15333333,2020-2021,24.0,1.91,Goalkeeper,right,Serie A,1.57,3.66,2.34,63.3,0.26,0.34,0.43,0.23,22.2,0.29,0.23,0.06,0.0,20.0,1.57,0.23,0.03,0.29,0.03,1.53,0.35,-0.02,6.55,16.18,40.5,22.96,4.75,51.9,41.9,7.43,57.3,45.3,9.58,0.69,7.2,0.49,14.3
Bartlomiej Dragowski,Bartlomiej Dragowski,12500000,2019-2020,23.0,1.91,Goalkeeper,right,Serie A,1.39,4.23,3.03,71.8,0.23,0.39,0.39,0.26,25.8,0.26,0.19,0.06,0.0,25.0,1.39,0.19,0.06,0.19,0.0,1.39,0.29,0.0,4.45,12.26,36.3,22.0,6.29,39.9,37.0,7.16,48.6,42.1,9.26,0.61,6.6,0.45,12.6
Bartlomiej Dragowski,Bartlomiej Dragowski,5750000,2018-2019,22.0,1.91,Goalkeeper,right,Serie A,1.58,5.94,4.55,76.5,0.3,0.18,0.48,0.24,25.0,0.24,0.18,0.06,0.0,25.0,1.58,0.18,0.0,0.24,0.0,1.73,0.27,0.16,5.58,16.67,33.5,24.55,6.3,43.7,39.1,11.03,53.8,47.1,10.67,0.55,5.1,0.73,13.9
Ben Foster,Benjamin Anthony Foster,300000,2021-2022,40.0,1.93,Goalkeeper,left,Premier League,1.61,3.83,2.22,58.0,0.28,0.22,0.5,0.17,16.7,0.06,0.0,0.06,0.0,100.0,1.61,0.0,0.0,0.22,0.06,1.37,0.35,-0.19,9.28,25.5,36.4,25.56,2.78,69.8,51.3,8.61,89.0,63.6,10.39,0.56,5.3,1.0,16.1
Ben Foster,Benjamin Anthony Foster,1350000,2019-2020,38.0,1.93,Goalkeeper,left,Premier League,1.68,4.37,2.87,66.3,0.21,0.26,0.53,0.24,23.7,0.24,0.21,0.03,0.0,11.1,1.68,0.21,0.08,0.18,0.08,1.53,0.31,-0.07,8.47,25.66,33.0,23.92,3.18,77.4,54.3,7.68,92.8,67.6,9.66,0.97,10.1,1.16,15.6
Ben Foster,Benjamin Anthony Foster,3000000,2018-2019,37.0,1.93,Goalkeeper,left,Premier League,1.55,4.5,3.03,67.8,0.37,0.21,0.42,0.18,18.4,0.13,0.11,0.03,0.0,20.0,1.55,0.11,0.05,0.18,0.08,1.41,0.3,-0.06,9.53,25.71,37.1,24.84,2.76,73.3,52.8,8.08,92.8,68.9,10.21,0.87,8.5,1.29,15.6
Ben Foster,Benjamin Anthony Foster,3250000,2017-2018,36.0,1.93,Goalkeeper,left,Premier League,1.49,4.11,2.65,64.5,0.16,0.32,0.51,0.27,27.0,0.03,0.03,0.0,0.0,0.0,1.49,0.03,0.08,0.24,0.03,1.32,0.32,-0.14,9.38,25.0,37.5,21.57,2.0,75.6,54.3,9.11,95.5,70.6,11.78,0.78,6.7,0.51,14.0
Ben Hamer,Benjamin John Hamer,500000,2018-2019,32.0,1.93,Goalkeeper,right,Premier League,3.42,6.18,3.42,52.6,0.0,0.16,0.98,0.16,14.3,0.49,0.49,0.0,0.0,0.0,3.42,0.49,0.33,0.33,0.16,2.59,0.35,-0.67,10.25,27.18,37.7,25.06,1.95,79.2,53.6,8.46,86.5,62.3,8.63,0.65,7.5,0.33,14.2
Benjamin Lecomte,Benjamin Lecomte,10500000,2020-2021,31.0,1.86,Goalkeeper,left,Ligue 1,0.96,2.21,1.39,61.3,0.64,0.18,0.18,0.46,46.4,0.11,0.11,0.0,0.0,0.0,0.96,0.11,0.04,0.04,0.04,0.69,0.27,-0.24,6.07,14.29,42.5,29.54,3.89,39.3,35.9,6.07,44.1,40.3,7.0,0.39,5.6,1.29,18.1
Benjamin Lecomte,Benjamin Lecomte,13000000,2019-2020,30.0,1.86,Goalkeeper,left,Ligue 1,1.57,4.71,3.39,71.2,0.39,0.25,0.36,0.25,25.0,0.21,0.21,0.0,0.0,0.0,1.57,0.21,0.0,0.29,0.04,1.47,0.28,-0.07,6.25,13.5,46.3,22.82,4.86,39.9,36.6,7.46,58.9,45.1,8.93,0.93,10.4,0.43,14.3
Benjamin Lecomte,Benjamin Lecomte,11375000,2018-2019,29.0,1.86,Goalkeeper,left,Ligue 1,1.14,3.68,2.7,71.3,0.41,0.35,0.24,0.3,29.7,0.14,0.08,0.03,0.03,25.0,1.14,0.08,0.03,0.19,0.08,1.1,0.28,0.05,9.08,20.11,45.2,26.95,4.51,56.6,44.3,7.16,67.9,52.2,8.3,0.59,7.2,0.7,15.6
Benjamin Lecomte,Benjamin Lecomte,5000000,2017-2018,28.0,1.86,Goalkeeper,left,Ligue 1,0.87,3.18,2.45,76.9,0.29,0.47,0.24,0.37,36.8,0.16,0.13,0.0,0.03,0.0,0.87,0.13,0.03,0.11,0.0,1.0,0.28,0.13,5.71,13.42,42.5,20.03,4.68,52.0,41.4,4.24,70.8,51.8,8.84,1.21,13.7,0.47,16.0
Benoît Costil,Benoît Costil,2200000,2021-2022,35.0,1.88,Goalkeeper,right,Ligue 1,2.36,5.14,3.0,58.4,0.14,0.36,0.5,0.0,0.0,0.23,0.23,0.0,0.0,0.0,2.36,0.23,0.05,0.27,0.0,1.85,0.32,-0.51,8.5,19.18,44.3,27.95,3.18,47.8,39.8,8.27,70.3,52.0,7.64,0.59,7.7,1.0,16.7
Benoît Costil,Benoît Costil,3266666,2020-2021,34.0,1.88,Goalkeeper,right,Ligue 1,1.5,3.89,2.58,66.2,0.34,0.16,0.5,0.37,36.8,0.21,0.18,0.03,0.0,12.5,1.5,0.18,0.05,0.16,0.03,1.23,0.27,-0.22,8.37,18.16,46.1,27.24,3.79,47.3,39.2,7.66,68.7,50.5,8.53,0.47,5.6,0.55,13.8
Benoît Costil,Benoît Costil,4500000,2019-2020,33.0,1.88,Goalkeeper,right,Ligue 1,1.21,3.79,2.68,69.8,0.32,0.36,0.32,0.21,21.4,0.11,0.07,0.04,0.0,33.3,1.21,0.07,0.0,0.14,0.04,1.11,0.27,-0.06,7.39,15.93,46.4,22.93,3.43,48.0,38.8,8.71,56.6,43.7,9.75,0.57,5.9,0.57,14.5
Benoît Costil,Benoît Costil,5833333,2018-2019,32.0,1.88,Goalkeeper,right,Ligue 1,1.14,3.95,2.97,75.3,0.24,0.3,0.46,0.27,27.0,0.19,0.16,0.03,0.0,14.3,1.14,0.16,0.03,0.3,0.0,1.22,0.27,0.08,7.49,16.54,45.3,22.81,3.32,47.0,40.9,8.27,70.3,53.3,9.73,0.43,4.4,0.65,14.0
Benoît Costil,Benoît Costil,6500000,2017-2018,31.0,1.88,Goalkeeper,right,Ligue 1,1.25,3.31,2.19,65.5,0.44,0.19,0.36,0.28,27.8,0.25,0.11,0.11,0.03,50.0,1.25,0.11,0.11,0.17,0.03,0.99,0.25,-0.23,4.75,14.64,32.4,21.03,2.69,48.5,42.6,4.94,89.9,65.5,9.47,0.78,8.2,0.56,14.3
Bernd Leno,Bernd Leno,27750000,2020-2021,29.0,1.9,Goalkeeper,right,Premier League,1.06,3.36,2.41,69.2,0.49,0.17,0.34,0.32,31.4,0.06,0.03,0.03,0.0,50.0,1.06,0.03,0.0,0.14,0.12,1.07,0.31,0.12,3.16,9.72,32.5,26.73,4.77,22.0,28.6,6.5,58.8,46.6,8.91,0.75,8.4,0.63,14.5
Bernd Leno,Bernd Leno,31500000,2019-2020,28.0,1.9,Goalkeeper,right,Premier League,1.33,4.99,3.74,77.6,0.31,0.44,0.27,0.24,23.3,0.24,0.2,0.03,0.0,14.3,1.33,0.2,0.0,0.2,0.0,1.53,0.27,0.21,3.06,10.87,28.1,25.11,5.91,28.1,31.9,8.53,44.6,40.0,9.28,0.61,6.6,0.61,13.5
Bernd Leno,Bernd Leno,25666666,2018-2019,27.0,1.9,Goalkeeper,right,Premier League,1.33,4.38,3.3,74.6,0.51,0.22,0.25,0.22,22.6,0.22,0.22,0.0,0.0,0.0,1.33,0.22,0.03,0.13,0.06,1.45,0.29,0.18,4.54,13.87,32.7,27.87,5.46,34.5,35.9,7.17,59.3,50.0,8.06,0.44,5.5,0.57,14.6
Bernd Leno,Bernd Leno,17333333,2017-2018,26.0,1.9,Goalkeeper,right,Bundesliga,1.21,3.15,2.06,66.3,0.45,0.3,0.24,0.3,30.3,0.15,0.15,0.0,0.0,0.0,1.21,0.15,0.06,0.09,0.0,1.05,0.3,-0.17,6.55,17.52,37.4,29.76,3.97,44.6,38.8,6.82,62.2,50.6,6.76,0.36,5.4,0.97,18.0
Bingourou Kamara,Bingourou Kamara,1150000,2020-2021,25.0,1.96,Goalkeeper,right,Ligue 1,1.75,3.88,2.38,58.1,0.25,0.0,0.75,0.25,25.0,0.13,0.13,0.0,0.0,0.0,1.75,0.13,0.0,0.13,0.13,1.21,0.28,-0.41,7.88,17.75,44.4,23.88,5.38,48.7,39.3,7.0,87.5,60.0,7.25,0.38,5.2,0.13,12.9
Bingourou Kamara,Bingourou Kamara,2500000,2017-2018,22.0,1.96,Goalkeeper,right,Ligue 1,1.7,4.79,3.19,66.7,0.21,0.32,0.48,0.11,10.5,0.11,0.11,0.0,0.0,0.0,1.7,0.11,0.0,0.32,0.0,1.32,0.26,-0.38,5.43,13.56,40.0,19.26,2.23,46.1,40.1,5.37,87.1,61.4,11.28,1.12,9.9,0.32,11.6
Bobby Allain,Bobby Allain,525000,2018-2019,28.0,1.85,Goalkeeper,right,Ligue 1,1.31,5.69,4.46,78.4,0.15,0.15,0.69,0.08,7.7,0.08,0.08,0.0,0.0,0.0,1.31,0.08,0.0,0.15,0.08,1.47,0.26,0.24,10.77,23.23,46.4,26.15,5.38,58.2,44.9,9.69,82.5,57.7,11.0,1.85,16.8,0.85,15.8
Brice Samba,Brice Samba,2350000,2018-2019,26.0,1.86,Goalkeeper,right,Ligue 1,1.42,4.79,3.53,73.6,0.18,0.32,0.5,0.24,24.3,0.21,0.16,0.05,0.0,25.0,1.42,0.16,0.11,0.13,0.05,1.56,0.3,0.19,9.71,21.71,44.7,23.87,4.39,63.1,46.2,8.29,80.3,58.5,9.11,0.95,10.4,0.55,14.0
Cárdenas,Daniel Cárdenas Lindez,1000000,2021-2022,24.0,1.86,Goalkeeper,right,La Liga,1.81,4.25,2.56,61.8,0.13,0.31,0.56,0.25,25.0,0.19,0.19,0.0,0.0,0.0,1.81,0.19,0.06,0.19,0.0,1.52,0.32,-0.29,5.31,14.13,37.6,23.5,4.06,44.4,39.1,8.0,46.1,38.9,9.81,0.63,6.4,0.69,14.2
